Date,Tm,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG.1,FGA.1,FG%.1,2P.1,2PA.1,2P%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,PTS.1,FG_players,FGA_players,FG%_players,3P_players,3PA_players,3P%_players,FT_players,FTA_players,FT%_players,ORB_players,DRB_players,TRB_players,AST_players,STL_players,BLK_players,TOV_players,PF_players,PTS_players,+/-_players,TS%_players,eFG%_players,3PAr_players,FTr_players,ORB%_players,DRB%_players,TRB%_players,AST%_players,STL%_players,BLK%_players,TOV%_players,USG%_players,ORtg_players,DRtg_players,BPM_players,A/T,EFF
2021/3/27,LAC,PHI,W 122-112,240,45,85,0.529,34,59,0.5760000000000001,11,26,0.423,21,27,0.778,122,39,77,0.506,29,51,0.569,10,26,0.385,24,33,0.727,112,5.673263888888887,10.618541666666664,0.5509847916666667,1.3559027777777781,3.2331944444444445,0.4699288194444444,2.7997916666666667,3.4433333333333334,0.3949743055555555,0.795,3.906319444444444,4.701319444444444,3.487916666666667,1.075416666666667,0.334375,1.4888888888888892,2.7598611111111118,15.50222222222222,8.794375,0.6716254166666666,0.6392637500000001,0.34839499999999995,0.24916125000000006,4.613361111111111,15.66934027777778,10.003326388888887,14.443854166666668,1.8399444444444444,1.1742430555555556,12.329423611111114,20.0086875,127.6328472222222,114.77069444444444,2.1167777777777776,2.3426305970149253,25.10125
2021/3/27,PHI,LAC,L 112-122,240,39,77,0.506,29,51,0.569,10,26,0.385,24,33,0.727,112,45,85,0.529,34,59,0.5760000000000001,11,26,0.423,21,27,0.778,122,4.308125,8.131527777777778,0.4402797916666667,0.9963888888888888,2.7609027777777784,0.2881589583333333,2.0505555555555555,2.777361111111111,0.5808900694444444,0.6081944444444445,2.9398611111111115,3.5480555555555564,1.973055555555556,0.5084722222222222,0.22652777777777774,1.642777777777778,2.6886111111111117,11.663194444444445,-7.896250000000001,0.5779377777777778,0.5128659027777779,0.37344847222222216,1.2799928472222222,4.3192916666666665,15.362375,10.012006944444442,12.532625,1.027784722222222,0.6795833333333333,9.768,20.000145833333328,115.64388888888891,124.96701388888891,-0.2630486111111113,1.2010483598241464,17.919305555555557
2021/3/27,MIL,NYK,L 96-102,240,36,87,0.414,22,51,0.431,14,36,0.389,10,16,0.625,96,40,93,0.43,24,49,0.49,16,44,0.364,6,8,0.75,102,4.742430555555557,11.325069444444445,0.4026073611111111,1.9357638888888888,4.677986111111111,0.31240402777777776,1.3947916666666664,2.2758333333333334,0.3479097222222222,1.8826388888888892,4.411041666666667,6.293680555555556,2.6947916666666667,1.4400694444444442,0.7986111111111112,2.1402777777777784,1.3791666666666669,12.815416666666668,-3.876597222222223,0.488989375,0.4772427083333333,0.4078207638888889,0.16096500000000002,6.371868055555557,14.657694444444445,10.419354166666668,14.706986111111108,2.358125,2.8672013888888888,12.894145833333333,19.995618055555557,102.32868055555555,109.39881944444444,-1.7268194444444442,1.2590850097339386,24.042569444444446
2021/3/27,NYK,MIL,W 102-96,240,40,93,0.43,24,49,0.49,16,44,0.364,6,8,0.75,102,36,87,0.414,22,51,0.431,14,36,0.389,10,16,0.625,96,4.857500000000001,11.68875,0.44661527777777776,2.1642361111111112,5.766944444444443,0.24809909722222226,0.6962499999999999,0.9806944444444444,0.4873611111111111,1.5456250000000002,4.4818750000000005,6.0275,3.7065972222222223,0.9103472222222224,1.5319444444444446,1.7268750000000002,2.374930555555556,12.575486111111115,3.7286111111111104,0.5380037500000001,0.529030625,0.442593125,0.10923597222222224,5.328611111111112,13.617090277777775,9.563,17.861854166666667,1.920097222222222,4.304944444444445,12.03307638888889,19.99111111111112,111.05395833333336,103.27430555555556,-0.22479861111111105,2.1464189488076566,24.751875000000002
2021/3/27,HOU,MIN,W 129-107,240,50,92,0.5429999999999999,32,53,0.604,18,39,0.462,11,13,0.846,129,36,85,0.424,23,45,0.511,13,40,0.325,22,28,0.7859999999999999,107,5.3254166666666665,9.662152777777779,0.5869449999999999,1.9195833333333328,3.8477083333333337,0.4198884722222223,1.1590277777777778,1.3960416666666668,0.6371160416666667,1.0363888888888888,3.3431944444444444,4.379583333333334,3.0799305555555563,0.7370138888888889,0.753125,1.2215277777777775,2.59,13.729444444444445,13.461111111111109,0.7061294444444444,0.6910735416666668,0.40098625,0.1589154166666667,5.007020833333334,15.125659722222226,10.108145833333333,14.5985625,1.4534027777777776,3.1103541666666668,12.017993055555555,20.0083125,133.32027777777782,112.40006944444444,0.8790208333333336,2.5213757816941453,22.679097222222225
2021/3/27,MIN,HOU,L 107-129,240,36,85,0.424,23,45,0.511,13,40,0.325,22,28,0.7859999999999999,107,50,92,0.5429999999999999,32,53,0.604,18,39,0.462,11,13,0.846,129,4.5259027777777785,10.175625,0.387882361111111,1.6502083333333333,4.854444444444446,0.327630625,2.6379166666666665,3.153958333333333,0.5982770138888889,1.2474305555555554,3.3569444444444443,4.604375,2.926875,0.858125,0.629375,1.2710416666666666,1.6573611111111108,13.339930555555556,-9.679305555555556,0.4974963888888888,0.4614105555555555,0.4290664583333333,0.3582931944444445,4.870208333333334,15.007340277777775,9.870381944444443,17.211229166666666,1.6698541666666666,2.2655694444444445,14.62842361111111,19.993993055555556,108.47819444444444,133.77180555555555,-4.4580625000000005,2.3027372561875104,22.358680555555555
2021/3/27,DAL,NOP,L 103-112,240,37,83,0.446,27,52,0.519,10,31,0.32299999999999995,19,24,0.792,103,42,81,0.519,33,55,0.6,9,26,0.34600000000000003,19,29,0.655,112,5.1426388888888885,11.22,0.4045327083333333,1.3503472222222224,4.094097222222223,0.21715027777777776,2.327569444444445,2.990763888888889,0.7572747222222223,1.350625,3.628125,4.978749999999999,2.718055555555555,0.20194444444444445,0.5245833333333333,1.0005555555555556,2.656458333333333,13.963194444444444,-5.635347222222222,0.4949777777777778,0.4490784722222222,0.3475010416666667,0.2857879861111111,4.545986111111111,15.571743055555556,9.490333333333334,13.492395833333333,0.4497638888888889,1.4498333333333333,7.871444444444443,20.00975,107.63125,126.21319444444444,-1.5840763888888894,2.716546363131593,22.386527777777772
2021/3/27,NOP,DAL,W 112-103,240,42,81,0.519,33,55,0.6,9,26,0.34600000000000003,19,29,0.655,112,37,83,0.446,27,52,0.519,10,31,0.32299999999999995,19,24,0.792,103,5.5625,10.702361111111113,0.5424322222222222,1.194722222222222,3.4834027777777776,0.22521180555555556,2.614375,3.8529166666666663,0.4485434027777778,0.9290277777777778,4.110555555555555,5.039583333333333,2.502152777777777,0.2,0.634375,0.870625,2.097777777777777,14.934097222222226,6.206736111111112,0.6112830555555555,0.5899300000000001,0.31583944444444445,0.29909291666666665,4.448534722222221,15.461194444444445,10.5035625,13.168833333333335,0.44916666666666666,1.9151041666666664,4.021326388888889,19.979506944444445,129.59229166666665,116.05500000000002,0.7439583333333329,2.8739730398021845,23.310208333333335
2021/3/27,BOS,OKC,W 111-94,240,44,96,0.458,32,58,0.552,12,38,0.316,11,14,0.7859999999999999,111,34,83,0.41,23,45,0.511,11,38,0.289,15,24,0.625,94,4.887569444444444,11.222430555555556,0.44959729166666657,1.4102777777777782,4.61548611111111,0.21138854166666668,1.354375,1.777847222222222,0.4254669444444445,0.8970833333333333,4.1440972222222205,5.041180555555554,2.581180555555556,1.1328472222222223,0.389375,1.2851388888888888,1.9202083333333333,12.539791666666668,7.280416666666667,0.5253623611111111,0.500198125,0.4074004166666666,0.224955625,3.9929166666666656,16.156527777777775,10.194868055555556,11.772493055555556,2.0032013888888893,1.7764027777777778,12.2366875,20.00025,108.56270833333332,93.61055555555555,0.8134930555555555,2.0084837350048637,21.684375
2021/3/27,OKC,BOS,L 94-111,240,34,83,0.41,23,45,0.511,11,38,0.289,15,24,0.625,94,44,96,0.458,32,58,0.552,12,38,0.316,11,14,0.7859999999999999,111,4.1189583333333335,9.640347222222225,0.4080163194444445,1.290486111111111,4.34625,0.20927479166666668,1.95625,2.9323611111111108,0.4543119444444445,1.2995138888888889,5.0104861111111125,6.3100000000000005,2.0009722222222224,0.8761111111111112,0.4340277777777778,1.8439583333333331,1.3877777777777776,11.484652777777775,-10.03763888888889,0.4937884027777778,0.4633039583333334,0.4355511111111111,0.3664270833333334,3.8515902777777775,15.998513888888892,9.792576388888891,11.470076388888884,1.3900902777777775,1.380125,15.07715277777778,20.013784722222226,93.63736111111109,110.03805555555556,-3.204673611111112,1.0851504538093626,21.10576388888889
